Period,Team,Player,Type,X,Y,Time,Strength,msu_score,opp_score
3,MSU,8,Miss,36.25,-4.75,9:49,PP,0,3
3,MSU,21,Miss,83.5,2.25,9:37,PP,0,3
3,MSU,18,Block,61,36.5,9:05,EVEN,0,3
3,BC,11,Miss,-33.5,24.5,8:43,EVEN,0,3
3,BC,34,Shot,-67.75,10.5,8:19,EVEN,0,3
3,MSU,9,Shot,59.5,19.75,8:15,EVEN,0,3
3,BC,27,Shot,-58,34,7:36,EVEN,0,3
3,MSU,8,Miss,31.75,-30.5,7:12,EVEN,0,3
3,MSU,29,Miss,59.5,9.25,6:35,EVEN,0,3
3,BC,26,Shot,-81.5,10.25,5:47,EVEN,0,3
3,BC,15,Miss,-81,-11,5:08,EVEN,0,3
3,MSU,21,Block,55.5,13.5,2:48,EVEN,0,3
3,BC,10,Miss,-61.5,4.75,2:24,EVEN,0,3
3,BC,24,Shot,-79,6.5,2:21,EVEN,0,3
3,MSU,11,Shot,69,-18.5,2:09,EVEN,0,3
3,BC,24,Miss,-82,-4.75,1:47,EVEN,0,3
3,MSU,8,Miss,32.75,-39.75,1:01,EVEN,0,3
3,MSU,2,Shot,39.5,27.75,1:00,EVEN,0,3
3,MSU,7,Miss,31.5,18,0:09,EVEN,0,3
1,BC,,Shot,-55.44,-0.46,18:25,EVEN,0,0
1,MSU,,Shot,46.56,14.14,17:38,EVEN,0,0
1,MSU,,Miss,30.16,17.74,17:13,EVEN,0,0
1,MSU,,Shot,59.36,36.34,17:06,EVEN,0,0
1,MSU,,Block,30.96,-26.06,16:59,EVEN,0,0
1,BC,,Shot,-59.44,-24.86,16:41,EVEN,0,0
1,MSU,,Shot,64.96,0.14,16:10,EVEN,0,0
1,MSU,,Block,54.96,-21.46,16:03,EVEN,0,0
1,BC,,Shot,-83.04,-5.86,15:28,EVEN,0,0
1,BC,,Shot,-83.64,-9.26,14:56,EVEN,0,0
1,MSU,,Shot,62.96,10.94,13:58,EVEN,0,0
1,MSU,,Miss,29.36,35.14,13:52,EVEN,0,0
1,BC,,Shot,-54.24,-7.86,13:38,EVEN,0,0
1,MSU,,Shot,75.76,-10.06,12:27,EVEN,0,0
1,BC,,Shot,-27.04,0.66,13:15,EVEN,0,0
1,MSU,,Shot,50.16,-6.14,11:24,EVEN,0,0
1,MSU,,Block,81.96,-26.34,10:38,EVEN,0,0
1,MSU,,Goal,81.96,20.54,9:58,EVEN,0,0
1,MSU,,Block,54.96,-12.66,9:44,EVEN,1,0
1,MSU,,Shot,55.96,-30.06,9:20,EVEN,1,0
1,BC,,Shot,-18.04,1.94,9:13,EVEN,1,0
1,MSU,,Miss,73.36,-3.86,8:32,EVEN,1,0
1,MSU,,Miss,76.76,4.34,8:21,EVEN,1,0
1,BC,,Shot,-17.04,-37.06,8:12,EVEN,1,0
1,BC,,Miss,-65.64,36.34,7:24,EVEN,1,0
1,BC,,Miss,-55.44,29.54,7:21,EVEN,1,0
1,BC,,Miss,-54.84,-31.86,6:56,EVEN,1,0
1,BC,,Shot,-86.44,8.34,5:57,EVEN,1,0
1,BC,,Miss,-30.44,-23.26,5:28,EVEN,1,0
1,MSU,,Block,30.16,-31.66,4:26,EVEN,1,0
1,MSU,,Shot,48.76,-32.26,3:38,EVEN,1,0
1,MSU,,Shot,27.56,30.94,3:28,EVEN,1,0
1,BC,,Goal,-74.64,-7.06,3:00,EVEN,1,0
1,MSU,,Miss,36.36,-12.26,1:55,EVEN,1,1
1,BC,,Goal,-69.04,-4.46,1:50,EVEN,1,1
1,BC,,Shot,-52.44,18.14,1:26,EVEN,1,2
1,MSU,,Block,63.76,-3.06,0:00,EVEN,1,2
2,MSU,,Goal,-79.24,-0.26,19:30,EVEN,1,2
2,MSU,,Miss,-64.64,-4.46,18:57,EVEN,2,2
2,BC,,Miss,68.76,4.34,18:51,EVEN,2,2
2,BC,,Shot,73.16,13.34,18:18,PK,2,2
2,BC,,Block,80.56,-16.86,17:57,PK,2,2
2,BC,,Goal,69.16,-26.06,16:47,PK,2,2
2,BC,,Shot,61.96,8.34,15:53,EVEN,2,3
2,MSU,,Block,-58.44,5.34,15:00,EVEN,2,3
2,MSU,,Shot,-72.84,-2.26,14:50,EVEN,2,3
2,MSU,,Miss,-28.64,-11.26,14:40,EVEN,2,3
2,BC,,Miss,65.56,3.94,14:06,EVEN,2,3
2,BC,,Miss,52.56,-16.86,14:00,EVEN,2,3
2,BC,,Miss,35.56,-26.66,13:55,EVEN,2,3
2,BC,,Shot,40.56,-10.66,13:32,EVEN,2,3
2,BC,,Shot,85.76,17.74,13:24,EVEN,2,3
2,BC,,Shot,30.16,22.14,13:07,EVEN,2,3
2,MSU,,Block,-49.04,-26.26,12:35,EVEN,2,3
2,MSU,,Goal,-72.24,-0.06,12:26,EVEN,2,3
